"","dh1","dh2","dh3","dl1","ma1","ma12","ma13","ma14","ma17","ma20","ma23","mh1","mh21","ra1","ra3","ta1","ta2","bio_04_all_de.r","bio_08_all_de.r","bio_09_all_de.r","bio_12_all_de.r","bio_13_all_de.r","bio_14_all_de.r","Bio015_worldclim","Bio02_worldclim","Bio04_worldclim","Bio07_worldclim","Bio08_worldclim","Bio09_worldclim"
"dh1",1,0.999988525494029,0.999971637062157,0.987668656863578,0.999919999348934,0.999890540692117,0.999890538296601,0.999778782015268,0.999545823937089,0.999865572350574,0.999890235058126,0.999962101421956,-0.234243788949947,0.999852872926001,0.999793250708418,0.0279877424173631,0.0847761429412591,0.0817103389002705,0.0419068476618655,0.0385462533587298,0.999892455436142,0.999628377958089,0.999899054286105,0.0674898177273742,-0.132724769418002,-0.0856890787558748,-0.135411488940141,0.122881602352697,0.0449210016628908
"dh2",0.999988525494029,1,0.999995462556495,0.988372977813752,0.999956726131768,0.999942578809468,0.999942579610845,0.999803145061357,0.999559003758843,0.999912284344882,0.999942397772117,0.999974835995028,-0.232124449531538,0.999763570064518,0.999687741475584,0.0240076635471175,0.0810088587317141,0.0816092959011774,0.0413977193024631,0.0384517627194668,0.999925322141818,0.999666226949255,0.999933725657982,0.0679062877192154,-0.132037429409566,-0.0858851214692023,-0.135273727372545,0.123407176880629,0.0449398042673061
"dh3",0.999971637062157,0.999995462556495,1,0.988787695430738,0.999976612563291,0.999951861821581,0.999951864191487,0.999833991277692,0.999591193513522,0.999924399854117,0.999951749467056,0.999961187276144,-0.231324950746803,0.999711215324798,0.999626575465097,0.0219442222801543,0.0790796361435462,0.0819814053092293,0.041186461140312,0.038007038736017,0.999947297421162,0.99971164936631,0.999950650238655,0.068168226073305,-0.13143234340318,-0.0856278130051812,-0.134811656692529,0.1237742249153,0.0448043905705449
"dl1",0.987668656863578,0.988372977813752,0.988787695430738,1,0.989258864541665,0.989486594175809,0.989486718154777,0.988922247550616,0.988390356488288,0.989443980414665,0.989489821039807,0.988270808475951,-0.191852894675179,0.985164557481057,0.984644696630227,-0.0817879054370393,-0.0176784079417309,0.0863801624037148,0.0338964046768004,0.0253725678382541,0.989157132739713,0.989477777637223,0.989092326896986,0.0855390573969766,-0.105896513110783,-0.087254244838239,-0.124597543686921,0.143249828659656,0.0412055908776473
"ma1",0.999919999348934,0.999956726131768,0.999976612563291,0.989258864541665,1,0.999898020792647,0.999898028725683,0.999915709118373,0.999730324213791,0.999906880809492,0.999897999387517,0.999880792350018,-0.230253186633381,0.999649256198796,0.999551832325725,0.0190649738792309,0.0762608094008421,0.0832713512414182,0.0420981691712599,0.0364750386069839,0.999991856251435,0.999835821901705,0.999958409105212,0.0687763688056339,-0.130362602331461,-0.0846704509976109,-0.133671531750001,0.124470821265789,0.0443400725951576
"ma12",0.999890540692117,0.999942578809468,0.999951861821581,0.989486594175809,0.999898020792647,1,0.999999995392789,0.999646257511605,0.999333811809176,0.999927049560986,0.999999994156288,0.999965271075482,-0.229770857343323,0.999494965056439,0.999397789184004,0.0185055982771288,0.076013119774527,0.079838493850143,0.0397128061409416,0.0398118457940609,0.999838061578444,0.999509822235884,0.999883954099426,0.0686852330719352,-0.131802427484351,-0.0877372419057522,-0.136549135847289,0.12398266765284,0.0454244836202354
"ma13",0.999890538296601,0.999942579610845,0.999951864191487,0.989486718154777,0.999898028725683,0.999999995392789,1,0.999646269486862,0.999333839335594,0.999927049647408,0.999999994181605,0.999965266680108,-0.229768213252772,0.999494956980648,0.999397774122358,0.0185032908714233,0.0760105722970228,0.0798377134113783,0.039712741320517,0.0398113458485366,0.999838072423168,0.99950984811506,0.999883961929166,0.0686864059498543,-0.131802577105015,-0.0877383856345623,-0.136550503948674,0.123982085233179,0.0454257032055115
"ma14",0.999778782015268,0.999803145061357,0.999833991277692,0.988922247550616,0.999915709118373,0.999646257511605,0.999646269486862,1,0.999864873895092,0.999687187127088,0.999646231477271,0.999641723556503,-0.230373955596875,0.9996034159575,0.999505206901282,0.0195578273403747,0.076564380350376,0.0869327039376068,0.0428423945132562,0.0336265819346735,0.999941958039981,0.999944746133039,0.999873435068595,0.0679006041788567,-0.12832939372566,-0.0809328472089423,-0.129941983849855,0.124902141476443,0.0434436439622168
"ma17",0.999545823937089,0.999559003758843,0.999591193513522,0.988390356488288,0.999730324213791,0.999333811809176,0.999333839335594,0.999864873895092,1,0.999402942745712,0.999333763947726,0.999345984307539,-0.230522473883376,0.999466462007112,0.999369969524008,0.0196471642581768,0.0763077338466336,0.0856768124376462,0.0460353211563903,0.0330988102665963,0.999812683571357,0.999897169738185,0.999677578950936,0.0694828694532758,-0.129207127223045,-0.0819830022788003,-0.131671285453818,0.125137464084355,0.0436429041489674
"ma20",0.999865572350574,0.999912284344882,0.999924399854117,0.989443980414665,0.999906880809492,0.999927049560986,0.999927049647408,0.999687187127088,0.999402942745712,1,0.999927017795414,0.999898795989447,-0.230670827923637,0.999523458545649,0.999426202718444,0.0188598469216978,0.0761565199733346,0.0818886139553659,0.0423855874015347,0.0373783504714521,0.999868680550087,0.999585767292317,0.999817926585978,0.0698692723131233,-0.131837111755519,-0.0870965189793873,-0.135850629941138,0.124072576663576,0.044211738163213
